code,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm
8377,ほくほくフィナンシャルグループ,銀行,銀行業,TOPIX Mid400,プライム,貸借
8381,山陰合同銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8383,鳥取銀行,銀行,銀行業,-,スタンダード,貸借
8386,百十四銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8387,四国銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8388,阿波銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8392,大分銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8393,宮崎銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8395,佐賀銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8399,琉球銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8410,セブン銀行,銀行,銀行業,TOPIX Mid400,プライム,貸借
8411,みずほフィナンシャルグループ,銀行,銀行業,TOPIX Core30,プライム,貸借
8416,高知銀行,銀行,銀行業,-,スタンダード,貸借
8418,山口フィナンシャルグループ,銀行,銀行業,TOPIX Mid400,プライム,貸借
8421,信金中央金庫,その他,その他,-,スタンダード,貸借
8424,芙蓉総合リース,金融（除く銀行）,その他金融業,TOPIX Mid400,プライム,貸借
8425,みずほリース,金融（除く銀行）,その他金融業,TOPIX Small 1,プライム,貸借
8439,東京センチュリー,金融（除く銀行）,その他金融業,TOPIX Mid400,プライム,貸借
8473,ＳＢＩホールディングス,金融（除く銀行）,証券･商品先物取引業,TOPIX Mid400,プライム,貸借
8508,Ｊトラスト,金融（除く銀行）,その他金融業,-,スタンダード,貸借
8511,日本証券金融,金融（除く銀行）,その他金融業,TOPIX Small 1,プライム,貸借
8518,日本アジア投資,金融（除く銀行）,証券･商品先物取引業,-,スタンダード,信用
8522,名古屋銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8524,北洋銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8537,大光銀行,銀行,銀行業,-,スタンダード,貸借
8541,愛媛銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8542,トマト銀行,銀行,銀行業,-,スタンダード,貸借
8544,京葉銀行,銀行,銀行業,TOPIX Small 1,プライム,貸借
8550,栃木銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8551,北日本銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8558,東和銀行,銀行,銀行業,TOPIX Small 2,プライム,貸借
8562,福島銀行,銀行,銀行業,-,スタンダード,貸借
8563,大東銀行,銀行,銀行業,-,スタンダード,貸借
8566,リコーリース,金融（除く銀行）,その他金融業,TOPIX Small 1,プライム,貸借
8570,イオンフィナンシャルサービス,金融（除く銀行）,その他金融業,TOPIX Mid400,プライム,貸借
8572,アコム,金融（除く銀行）,その他金融業,TOPIX Mid400,スタンダード,貸借
8584,ジャックス,金融（除く銀行）,その他金融業,TOPIX Small 1,プライム,貸借
8585,オリエントコーポレーション,金融（除く銀行）,その他金融業,TOPIX Small 1,プライム,貸借
8591,オリックス,金融（除く銀行）,その他金融業,TOPIX Large70,プライム,貸借
8593,三菱ＨＣキャピタル,金融（除く銀行）,その他金融業,TOPIX Mid400,プライム,貸借
8595,ジャフコ　グループ,金融（除く銀行）,証券･商品先物取引業,TOPIX Mid400,プライム,貸借
8596,九州リースサービス,金融（除く銀行）,その他金融業,-,スタンダード,貸借
8600,トモニホールディングス,銀行,銀行業,TOPIX Small 1,プライム,貸借
8601,大和証券グループ本社,金融（除く銀行）,証券･商品先物取引業,TOPIX Mid400,プライム,貸借
8604,野村ホールディングス,金融（除く銀行）,証券･商品先物取引業,TOPIX Large70,プライム,貸借
8609,岡三証券グループ,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 1,プライム,貸借
8613,丸三証券,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 1,プライム,貸借
8614,東洋証券,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 2,プライム,貸借
8616,東海東京フィナンシャル・ホールディングス,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 1,プライム,貸借
8617,光世証券,金融（除く銀行）,証券･商品先物取引業,-,スタンダード,貸借
8622,水戸証券,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 2,プライム,貸借
8624,いちよし証券,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 2,プライム,貸借
8628,松井証券,金融（除く銀行）,証券･商品先物取引業,TOPIX Small 1,プライム,貸借
8630,ＳＯＭＰＯホールディングス,金融（除く銀行）,保険業,TOPIX Large70,プライム,貸借
