分類,テーマ,メッセージ,参考URL,文章
仕事術,合理的に考える,「悩む」ではなく「考える」のが大事,https://x.com/nekosukexx/status/1808253061585895855,新卒１年目で上司に教わったが、「悩む」と「考える」は全然ちがう。悩む：「同じ場所でぐるぐる回る」こと考える：「少しずつでも前に進む」こと自分では「考えてる」と思っても3分たって何も進展がなければ「悩んでいる」だけ。その時は早めに誰かに頃った方が良い。
仕事術,合理的に考える,仕事を増やすのではなく減らせるのが優秀,https://x.com/KenTana2020/status/1828266374243983540,何度も言うけどめちゃくちゃ大事　仕事を増やす→誰でもできる　仕事を減らす→本当に優秀な人
仕事術,合理的に考える,やりたいことをやるために残りを効率化すべし,https://x.com/KenTana2020/status/1823918238180463052,実はめちゃくちゃ大事なのに、9割の人が実践しきれていないこと。
仕事術,合理的に考える,「誰のため」「何のため」か分からない仕事をするな,https://x.com/KenTana2020/status/1823192843038708098,苦手なことはありますか？　JTC「これです」
仕事術,合理的に考える,会議の最後にムダな質問で長引かせるな,https://x.com/KenTana2020/status/1822031136329204044,あの...あなたが発言しなければ会議終了だったのに、目立ちたいだけの生産性のない質問はやめてもらえませんか？
仕事術,合理的に考える,重箱の隅を気にせずポイントを抑えよう,https://x.com/hanabi_support/status/1829453595445772671,業務量は多くないのに残業してる人の特徴　①話が長い　②質問に対してストレートに答えない　③何を言ってるのかわからない　④納期を守れない　⑤報連相が遅い　⑥締め切り効果が効かない　⑦重箱の隣を気にし続ける　⑧謞の信念の持ち主　⑨昼ごはんが大盛り　食べすぎると効率落ちるよ、マジで。
仕事術,合理的に考える,あなたの拘りではなく事業への貢献を考えよう,https://x.com/hanabi_support/status/18294535954457726711,"業務量は多くないのに残業してる人の特徴

①話が長い
②質問に対してストレートに答えない
③何を言ってるのかわからない
④納期を守れない
⑤報連相が遅い
⑥締め切り効果が効かない
⑦重箱の隅を気にし続ける
⑧謎の信念の持ち主
⑨昼ごはんが大盛り

食べすぎると効率落ちるよ、マジで。"
仕事術,合理的に考える,人を責めるのではなく「仕組み」を責めるべき,https://x.com/hanabi_support/status/1824604919523082542,上司が持つべき考え方
仕事術,合理的に考える,褒めるなら「人」を、責めるなら「コト」を,https://x.com/hanabi_support/status/1820738494991569047,これを意識するだけで伝わり方が全然違う
,合理的に考える,大きな勝ちを得るために、小さな論点は勝ちを譲る,https://x.com/nekosukexx/status/1832727334815936570,東大卒のシゴデキ後輩（28才）、・論理の漏れがない・結論から回答できる・難しい問題をシンプルにできる・頭の回転が速いのもあるが、一番「頭イイな」と思ったのは.....「小さな論点で意見が合わないとき、わざと相手に譲ってる」場面を見たとき。本人は「議論のポイントを押さえるのが得意」とのことだが、あまりにも納得だった。
仕事術,困難なことも楽しむ,嫌いなことを耐えるのではなく好きになるよう工夫せよ,https://x.com/nekosukexx/status/1793387357908931041,イチローの「嫌いなものを好きになる方法」が、現実的すぎて凡人サラリーマンから共感の嵐。
仕事術,自分で考える,「作業」ではなく頭がちぎれるぐらい考えた「仕事」を,https://x.com/nekosukexx/status/1809515851881832583,30代のシゴデキを見てると、20代の頃に『頭がちぎれるほど』考える経験をしてる。逆に30才すぎてもポンコツなのは、言われた『作業』だけやってきた人。ちなみに持論だが、ガチで『頭がちぎれるほど』考えてると、シャワーを浴びてるときに闃くことが多い。１つの目安になるのでオススメ。
仕事術,自分で考える,上司に「どうすれば良い？」とは聞くな,https://x.com/KenTana2020/status/1822763213081211285,【仕事での評価が低い人の共通点】上司にオープンクエスチョン
仕事術,常に120%出す,小さな仕事でも120％出すことで信頼を得られる,https://x.com/KenTana2020/status/18264547293267806400,
マインド,成功するまでやる,失敗の積み重ねが「成功」につながる,https://x.com/nekosukexx/status/1822890723584471363,同じ経験でも、『失敗』の捉え方でマジで人生は変わる。
マインド,成功するまでやる,成功した人も最初は一歩目から（Amazon）,https://x.com/nekosukexx/status/1835097584303849944,夢を諸めない方が良い理由。あのAmazonでも創業当時はこんな感じ。
マインド,適当に生きる,社会では「素」を出さずに役を演じるべき,https://x.com/nekosukexx/status/1818033004440338689,"会社では、自分の『素』を出しすぎない方が良い。例えば人格を否定されるような場面に遂っても、素を出してないと『演じてる""役""が否定されただけ』と思える。とくに自分が繊細だと思う人にはオススメ。"
